code,question,question_type,standard_answer,importance_score,occurrence_count
,向量库的分片和副本如何设计？,向量数据库与检索排序,分片主要解决数据规模、写入吞吐和查询并行问题，副本主要解决高可用、读扩展和故障恢复问题。分片过少会限制容量和吞吐，分片过多会增加路由、聚合和跨分片排序成本；副本过少会影响容灾，副本过多会增加写入同步和存储成本。设计时应结合数据量增长、QPS、Top-K、过滤条件、可用区部署和扩缩容策略压测。,67.4,25
,冷热数据在向量库中如何分层？,向量数据库与检索排序,冷热数据分层是把高频、近期或高价值向量放在高性能热索引，把低频、历史或归档数据放到低成本冷存储或低配索引。查询可以先查热数据，必要时再扩展到冷数据，也可以按时间、业务优先级或用户意图路由。分层不能破坏正确性：审计、历史政策和长尾问答仍可能需要冷数据，因此要有跨层召回策略、延迟提示和数据生命周期管理。,65.8,24
,Embedding 是否需要归一化？,向量数据库与检索排序,Embedding 是否归一化取决于模型训练方式和向量库距离函数。使用余弦相似度时通常会做 L2 归一化；如果模型按点积或内积目标训练，归一化可能改变模型原本的分数含义，需要以模型说明和业务评测为准。无论是否归一化，都要保持离线建库和在线查询一致；策略变更后必须重新校准阈值、Top-K 和排序效果。,64.2,23
,向量库中的删除如何满足数据合规要求？,向量数据库与检索排序,向量库删除要覆盖原文、Chunk、向量、元数据、缓存、搜索索引和备份策略。工程上常用“先软删除、检索强过滤、异步物理删除”的流程，确保删除请求提交后内容不会继续被召回，同时保留删除任务状态和审计记录。对于合规删除，还要确认派生数据、评测样本、日志和缓存是否包含相关内容，并设置可验证的完成机制。,64.2,23
,ANN 为什么是近似搜索，不是精确搜索？,向量数据库与检索排序,ANN 是近似搜索，因为大规模向量库如果对每个查询都精确计算全量距离，延迟和成本会非常高。ANN 通过 HNSW、IVF、PQ 等结构缩小搜索空间，用少量召回损失换取数量级的性能提升。上线时不能只看速度，要用标注样本或 Flat 结果作为近似上界，评估 Recall@K、P95 延迟、内存和过滤条件下的效果。,62.6,22
,热门 Query 的向量检索缓存如何设计？,向量数据库与检索排序,热门 Query 的向量检索缓存可以缓存 Query Embedding、召回结果、Rerank 结果或最终答案。缓存 Key 必须包含规范化 Query、用户权限、租户、知识库版本、模型版本和检索参数，避免返回过期或越权结果。企业知识库场景通常更适合缓存检索中间结果，而不是无条件缓存最终答案，因为最终答案可能受用户上下文影响。,61.0,21
,过滤条件很强时为什么召回会下降？,向量数据库与检索排序,过滤条件很强时召回下降，是因为检索候选集合被大幅缩小，ANN 搜索空间变窄，相关文档可能在过滤后不存在或数量不足。权限过滤必须强制执行，但业务过滤可以根据效果做策略调整，例如提高候选数、优化元数据设计、调整 pre-filter 和 post-filter 组合，或在无结果时提示用户扩大范围。,61.0,21
,向量搜索召回不准时如何 Debug？,向量数据库与检索排序,向量搜索召回不准时应按链路 Debug：先看文档解析是否丢结构、Chunk 是否过大或过小，再看 Query 是否需要改写、Embedding 模型是否匹配语言和领域、距离函数和归一化是否一致、过滤条件是否过强、Top-K 和索引参数是否合适。最后用失败案例对比“应召回文档”和“实际召回文档”，记录分数、排名和过滤原因，避免凭感觉调参。,59.4,20
,语义相似但事实错误的 Chunk 为什么会被召回？,向量数据库与检索排序,语义相似但事实错误的 Chunk 会被召回，是因为向量检索主要衡量表达语义接近，不天然判断事实真伪、版本新旧、适用范围或业务条件是否一致。例如旧制度和新制度在语义上很像，但结论可能相反。解决方式是加入版本、时间、产品线、地区、状态等元数据过滤，结合关键词约束和 Rerank，并在生成阶段要求模型检查证据的适用范围和更新时间。,57.8,19
,全文搜索和向量搜索的本质区别是什么？,向量数据库与检索排序,全文搜索基于词项匹配和倒排索引，擅长编号、专有名词、错误码、人名、产品型号等精确查询，可解释性强；向量搜索基于语义相似，擅长同义表达、口语化问题和模糊意图，但可能召回语义相似却事实不匹配的内容。企业 RAG 通常采用混合检索：用全文搜索保证精确匹配，用向量搜索补充语义泛化，再通过融合和 Rerank 排序。,56.2,18
,结构化字段和向量字段如何一起参与检索？,向量数据库与检索排序,结构化字段和向量字段应分工协作：结构化字段负责租户、权限、时间、地区、产品线、文档类型和版本等确定性过滤，向量字段负责语义相似度召回。标准流程是服务端根据真实用户身份和业务条件生成过滤条件，在过滤范围内做向量或混合检索，再结合 Rerank、时间权重或业务权重排序。这样既保证安全边界，又保留语义泛化能力。,56.2,18
,为什么不同 Embedding 模型的相似度分数不能直接比较？,向量数据库与检索排序,不同 Embedding 模型的相似度分数不能直接比较，是因为它们的训练目标、向量空间、维度、归一化方式和距离函数可能都不同。一个模型中 0.8 的余弦相似度可能代表高度相关，另一个模型中 0.8 可能只是普通相关。更换 Embedding 模型后，通常需要重新生成向量、重新建立索引，并用业务标注集重新校准 score_threshold、Top-K 和召回评测指标。,54.6,17
,向量库备份、迁移和回滚如何设计？,向量数据库与检索排序,向量库备份不能只备份向量本身，还要备份原文、元数据、索引配置、集合结构、Embedding 模型版本和切分策略。迁移时推荐采用双写或双读方案，用固定 Query 对比新旧库的召回结果、排序质量和延迟，再逐步切流量。回滚时要保留旧索引、旧配置和旧模型版本，确保新库效果异常或迁移失败时可以快速切回，不影响线上检索服务。,53.1,16
,多模态向量检索如何实现？,向量数据库与检索排序,多模态向量检索会把文本、图片、音频或视频片段映射到统一或可对齐的向量空间，实现以文搜图、以图搜商品、截图问答和视频片段检索等能力。工程上要保存原始文件、模态类型、OCR/ASR 结果、向量、缩略图、时间戳、元数据和权限标签。检索后通常还需要模态专用 Rerank、OCR 文本校验或业务规则过滤，不能只依赖单一向量相似度。,53.1,16
,Rerank 模型如何选型？,向量数据库与检索排序,Rerank 模型选型要看语言和领域匹配、最大输入长度、排序质量、吞吐、延迟、成本以及部署方式。离线可以用 NDCG、MRR、Recall@K、Context Precision 等指标比较不同模型，线上还要观察答案忠实度、引用准确率和用户满意度。若候选文本很长或 QPS 很高，需要关注截断策略、batch 推理和缓存，否则排序质量提升可能抵不过延迟成本。,51.5,15
,高并发向量查询如何限流和保护服务？,向量数据库与检索排序,高并发向量查询需要从入口、应用层和向量库三层保护。入口层做用户/租户限流、排队和熔断；应用层做 Query Embedding 缓存、热门检索结果缓存、Top-K 降级和 Rerank 候选数控制；向量库层通过连接池、读副本、分片、资源隔离和监控告警保障稳定。重点监控 QPS、P95/P99 延迟、CPU、内存、磁盘、错误率和过滤后空结果率。,49.9,14
,Token 是什么？,模型基础、微调与部署选型,Token 是模型处理文本的基本单位，可能对应一个字、一个词、一个子词，具体切分由 tokenizer 决定。模型上下文长度、输入输出计费、max_tokens、缓存和吞吐都以 Token 为基础，因此 Token 数越多通常成本和延迟越高。中文并不能简单等同于“一个汉字一个 Token”，实际应使用目标模型的 tokenizer 或供应商 usage 统计来估算。,81.1,34
,temperature、top_p 和 top_k 有什么区别？,模型基础、微调与部署选型,temperature 控制采样随机性，值越高输出越发散，值越低越稳定；top_p 从累计概率最高的一组候选 token 中采样，限制候选概率质量；top_k 则只在概率最高的 k 个 token 中采样。事实问答、结构化输出和工具调用通常使用低 temperature，创意写作可以适当提高。不要同时盲目调大多个采样参数，应该围绕稳定性、创造性和可复现性做实验。,79.5,33
,为什么上下文长度不等于长期记忆？,模型基础、微调与部署选型,上下文长度只是模型单次请求能看到的 Token 上限，不是持久存储，也不代表模型请求结束后会自动记住信息。所谓“长期记忆”通常是应用层把用户画像、历史摘要、向量记忆或数据库记录在下一次请求时重新取出并放入上下文。可以把上下文窗口理解为临时工作台，把长期记忆理解为外部可管理存储；长期记忆还需要权限、过期、纠错和删除机制。,79.5,33
,max_tokens 如何影响生成结果？,模型基础、微调与部署选型,max_tokens 控制模型最多生成多少输出 Token。设置过小会导致答案被截断、JSON 不完整或步骤缺失；设置过大则会增加成本、延迟和无效啰嗦输出，也可能掩盖模型未按要求简洁回答的问题。生产中应按任务类型设置上限：分类和抽取较短，报告和总结较长，并结合停止条件、结构化 schema 和后处理校验。,77.9,32
,stop sequence 有什么作用？,模型基础、微调与部署选型,stop sequence 用于指定模型生成到某些标记时停止，常见于协议化输出、模板补全、代码补全、分隔多段结果或防止模型继续生成无关内容。使用时要避免停止标记出现在正常业务文本中，否则会提前截断答案；也不能把 stop 当作唯一格式保障。生产中应选择低冲突分隔符，并在解析层做完整性校验和失败兜底。,76.3,31
,KV Cache 为什么能加速推理？,模型基础、微调与部署选型,KV Cache 会缓存已处理 token 在注意力层中的 Key/Value 表示。自回归生成下一个 token 时，模型不必反复计算全部历史上下文，只需计算新增 token 并复用历史 KV，因此 decode 阶段会更快。代价是 KV Cache 会随上下文长度、batch size、并发数和层数增长而占用显存，长上下文高并发场景尤其明显。,74.7,30
,Transformer Self-Attention 的核心思想是什么？,模型基础、微调与部署选型,Transformer Self-Attention 的核心是让序列中的每个 token 根据与其他 token 的相关性动态聚合信息。Query、Key、Value 机制用于计算注意力权重，多头注意力则让模型从不同子空间学习语法、指代、位置和语义关系。它的优势是能并行建模全局依赖，代价是标准注意力计算随上下文长度增长较快，因此长上下文推理成本更高。,74.7,30
,长上下文为什么会显著增加成本？,模型基础、微调与部署选型,长上下文会显著增加输入 Token 成本、prefill 计算量和 KV Cache 显存占用，也可能让模型更难在大量无关内容中定位关键证据。上下文越长，不仅花费更高，首 token 延迟和整体延迟也通常更高。工程上应优先通过检索、Rerank、摘要压缩、结构化状态和按需加载工具来减少上下文，而不是把所有历史和文档一次性塞给模型。,73.1,29
,Embedding 模型和生成模型有什么区别？,模型基础、微调与部署选型,Embedding 模型的输出是向量，主要用于语义检索、聚类、去重、推荐和相似度计算；生成模型的输出是文本、代码、JSON 或工具调用参数，主要用于回答、推理、摘要和执行任务编排。RAG 中通常由 Embedding 模型负责“找到相关证据”，再由生成模型负责“基于证据组织答案”。两类模型的评测指标不同，Embedding 看召回和排序，生成模型看正确性、忠实度、格式和安全。,71.5,28
,多模态模型在应用开发中如何使用？,模型基础、微调与部署选型,多模态模型可用于图片理解、票据识别、截图问答、图文检索、语音转写后分析、视频摘要和质检等场景。后端需要把文本、图片、音频、视频和文件抽象成统一的 message parts，并处理格式转换、大小限制、安全扫描、OCR/ASR、权限校验、存储地址和日志脱敏。多模态输出还要做业务字段校验、置信度判断和人工复核，不能只看模型是否“看懂图片”。,71.5,28
,Reasoning 模型和普通对话模型如何取舍？,模型基础、微调与部署选型,Reasoning 模型适合复杂推理、规划、代码、多步骤分析等任务，通常质量更高但延迟和成本也更高；普通对话模型适合摘要、改写、分类、客服问答等常规任务，性价比更好。生产中应按任务复杂度做模型路由，不应所有请求都使用最强模型。关键任务可以先用普通模型处理，不确定或失败时再升级到 Reasoning 模型。,70.0,27
,LoRA 微调的原理是什么？,模型基础、微调与部署选型,LoRA 的原理是在冻结大模型主体参数的情况下，在注意力层等位置插入可训练的低秩矩阵，只训练少量 adapter 参数来学习任务适配能力。它显著降低训练显存和计算成本，也便于为不同业务加载不同适配器。LoRA 适合输出风格、格式遵循、领域表达和稳定任务微调，但不适合承载频繁变化的事实知识，这类知识通常更适合 RAG。,68.4,26
,全量微调和 LoRA 微调有什么区别？,模型基础、微调与部署选型,全量微调会更新模型全部或大部分参数，能力改造更彻底，但训练成本、显存要求、数据要求和回归风险都更高；LoRA 只训练少量低秩适配参数，成本低、迭代快、可插拔，适合多数企业定制场景。选择时要看数据量、任务稳定性、预算、部署方式和评测结果。频繁变化的知识不建议靠微调硬塞，通常应交给 RAG。,68.4,26
,SFT、RLHF 和 DPO 分别是什么？,模型基础、微调与部署选型,SFT 是监督微调，用高质量“指令-回答”样本教模型学会目标任务格式和行为。RLHF 是基于人类偏好训练奖励模型，再用强化学习优化模型，使输出更符合人类偏好；DPO 则直接用偏好对优化模型，流程比 RLHF 更简化。三者主要改善模型行为、风格和任务遵循能力，不适合用来承载频繁变化的事实知识。,66.8,25
,微调和 RAG 如何选择？,模型基础、微调与部署选型,微调和 RAG 解决的问题不同。需要动态知识、企业私有资料、引用来源、权限过滤和快速更新时，应优先使用 RAG；需要稳定输出风格、格式遵循、领域表达习惯或特定任务行为时，可以考虑微调。很多企业场景会组合使用：RAG 提供事实证据，Prompt 或微调约束表达和任务格式，再用评测集验证两者叠加后的效果。,65.2,24
,模型蒸馏解决什么问题？,模型基础、微调与部署选型,模型蒸馏主要解决成本、延迟和部署压力问题。常见做法是用大模型生成或标注高质量样本，再训练小模型，让小模型在特定任务上接近大模型效果。它适合高频、边界清晰、评价标准明确的任务，例如分类、抽取、路由和简单问答。蒸馏可能牺牲泛化能力和复杂推理能力，所以上线前必须用业务评测集比较质量、延迟和成本收益。,65.2,24
,int8/int4 量化会带来什么影响？,模型基础、微调与部署选型,int8/int4 量化通过降低权重或激活的数值精度来减少显存占用、提升吞吐并降低部署成本。代价是可能带来精度损失，尤其在复杂推理、数学、代码、长上下文、多轮工具调用等场景更容易暴露。上线前应使用真实业务评测集比较量化前后的准确率、格式合规率、延迟、显存和吞吐，并为高风险任务保留更高精度模型。,63.6,23
,私有化部署时如何估算 GPU 显存？,模型基础、微调与部署选型,私有化部署估算 GPU 显存时，需要考虑模型参数量、权重精度、KV Cache、上下文长度、batch size 和并发数。权重显存大致由参数量和精度决定，但长上下文和高并发下 KV Cache 也会占用大量显存。实际部署前应使用目标模型、真实上下文长度和并发量压测，因为理论估算只能给出粗略下限。,62.0,22
,MoE 模型有什么特点？,模型基础、微调与部署选型,MoE（Mixture of Experts）模型包含多个专家网络，但每次推理通常只激活其中一部分专家，因此可以在较大参数容量和较低单次计算之间折中。它的优势是模型容量大、专业化潜力强；挑战是专家路由、负载均衡、通信开销、部署复杂度和批量推理效率。选型时不能只看总参数量，还要看实际激活参数、吞吐、延迟和业务效果。,60.4,21
,Prefill 和 Decode 阶段有什么区别？,模型基础、微调与部署选型,Prefill 阶段负责处理全部输入上下文并构建 KV Cache，主要受输入长度、batch size 和注意力计算影响；Decode 阶段逐 token 生成输出，主要受输出长度、并发、采样和 KV Cache 读取影响。长 Prompt 但短回答通常 prefill 占比高，短 Prompt 但长生成通常 decode 占比高。优化时要先定位瓶颈，再分别采用上下文压缩、缓存、连续批处理或推测解码等手段。,60.4,21
,开源大模型如何选型？,模型基础、微调与部署选型,开源大模型选型应同时评估业务效果和落地成本。能力上看中文、领域知识、上下文长度、工具调用、结构化输出、代码/推理能力和安全表现；工程上看推理速度、显存需求、量化支持、并发吞吐、部署框架、社区活跃度和许可证。不能只看参数量或排行榜，必须用真实业务样本评估准确率、格式合规率、延迟、成本和商用合规风险。,58.8,20
,什么场景适合私有化部署大模型？,模型基础、微调与部署选型,适合私有化部署大模型的场景通常具备数据敏感、合规要求高、调用量大、延迟要求强、需要离线内网运行或需要深度定制等特点。优势是数据控制权、安全隔离和可定制性更强；缺点是 GPU 成本、推理优化、模型升级、监控运维和容量规划复杂。是否私有化不能只看安全诉求，还要评估总拥有成本、团队能力、峰值并发和业务收益。,57.2,19
,如何评测一个基础模型是否适合业务？,模型基础、微调与部署选型,评测基础模型是否适合业务，不能只看公开榜单，应使用真实业务样本做离线评测和小流量灰度。样本要覆盖高频问题、长尾问题、结构化输出、工具调用、RAG 问答、安全拒答、中文术语和复杂推理。指标上同时看准确率、忠实度、格式稳定性、延迟、成本、上下文长度、供应商合规、可观测性和回滚能力，最后再决定是否上线。,57.2,19
,大模型为什么会产生幻觉？,模型基础、微调与部署选型,大模型会产生幻觉，是因为它本质上是在给定上下文下预测最可能的输出，并不天然保证每句话都连接真实世界事实。训练数据过期、问题含糊、上下文证据不足、检索结果错误、模型过度补全或用户要求强行回答，都可能导致幻觉。降低幻觉要结合 RAG 证据、引用校验、拒答策略、结构化约束、事实核查和业务评测，而不是只靠一句“不要编造”。,55.6,18
,上下文学习 In-context Learning 是什么？,模型基础、微调与部署选型,In-context Learning 指不更新模型参数，而是在 Prompt 中提供任务说明、示例和上下文，让模型临时适配当前任务。它适合快速验证、轻量定制、分类、抽取和格式化输出。优点是迭代快、成本低，不需要训练；缺点是受上下文窗口限制，稳定性不如训练后的能力，复杂任务仍需要评测和兜底。,54.0,17
,中文业务场景如何选择模型？,模型基础、微调与部署选型,中文业务场景选择模型时，应重点评估中文语义理解、口语化表达、省略指代、行业术语、长文档、表格、结构化输出、工具调用和安全合规。很多模型在英文 Benchmark 上表现很好，但在中文制度、合同、客服对话、内部缩写和复杂日期金额表达上未必稳定。最终应使用真实中文业务样本和线上灰度评测，而不是只参考通用榜单。,52.5,16
,模型安全对齐解决什么问题？,模型基础、微调与部署选型,模型安全对齐的目标是让模型默认更少输出违法、有害、歧视、暴力、自残、隐私泄露和危险建议，并在高风险请求上更稳定地拒答。它提升的是基础模型行为安全性，但不能替代应用层控制。生产系统仍需要权限校验、敏感信息检测、工具最小权限、人工审批、审计日志、内容过滤和红队测试，形成模型层与应用层的多层防线。,52.5,16
,领域术语和专有名词如何处理？,模型基础、微调与部署选型,领域术语和专有名词应通过术语库、RAG、关键词检索、Few-shot 示例和后处理校验共同处理。产品型号、内部系统名、人名、缩写、代码编号和法规条款往往不适合只靠向量相似度，最好结合 BM25、元数据过滤、同义词表和术语映射。输出阶段还可以用术语表做一致性检查，避免模型把专有名词改写、误译或泛化。,50.9,15
,从一个模型切换到另一个模型要注意什么？,模型基础、微调与部署选型,从一个模型切换到另一个模型时，不能只改 model 参数。需要检查 Prompt 适配、上下文长度、工具调用格式、结构化输出 schema、采样参数、拒答策略、延迟、成本、数据合规和安全行为是否变化。流程上应先跑 Golden Set 和历史 Trace，再做小流量灰度，确认关键场景不退化后再放量，并保留旧模型回滚开关。,49.3,14
,推理加速常见手段有哪些？,模型基础、微调与部署选型,推理加速要先区分瓶颈在 prefill、decode、排队、网络还是外部工具。常见手段包括减少上下文、KV Cache、连续批处理、量化、投机解码、并行解码、模型蒸馏、响应缓存、Prompt 缓存、就近部署和模型路由。加速不能只看平均延迟，还要观察 P95/P99、吞吐、显存、输出质量和成本，避免为了速度牺牲关键任务准确率。,49.3,14
,Golden Set 在 AI 应用评测中是什么？,评测、观测与质量保障,Golden Set 是一组高质量、稳定、可重复使用的业务评测样本，通常包含输入、参考答案、证据来源、评分规则和标签。它用于在模型、Prompt、检索参数、工具 schema 或知识库变更后做回归测试，判断是否质量退化。好的 Golden Set 应覆盖高频、长尾、边界、安全、历史失败案例，并进行版本化管理。,78.8,32
,LLM-as-Judge 如何使用？,评测、观测与质量保障,LLM-as-Judge 是让模型按照明确 rubric 对答案、RAG 证据或 Agent Trace 评分。使用时要提供评分维度、参考答案或证据、反例、输出格式和评分解释，并尽量隐藏被评模型来源，减少同源偏差和顺序偏差。它适合规模化初评、回归监控和坏例筛选，但不能完全替代人工评审；关键、安全和争议样本需要人工抽检校准。,77.2,31
,公开 Benchmark 和业务评测集有什么区别？,评测、观测与质量保障,公开 Benchmark 衡量模型通用能力，例如数学、代码、知识、推理、多语言和安全表现；业务评测集衡量模型在真实数据、真实流程、权限约束、输出格式、工具调用和风险边界下的效果。公开榜单适合初筛模型，但不能直接代表上线效果。最终选型应以业务 Golden Set、历史 Trace 回放、线上灰度、成本、延迟和合规要求为准。,77.2,31
,LLM Judge 有哪些偏差？,评测、观测与质量保障,LLM Judge 常见偏差包括偏好长答案、偏好流畅表达、忽视细节错误、对同源模型更宽容、受答案顺序影响、被无关格式诱导，以及事实核查能力不足。降低偏差的方法包括明确 rubric、使用参考证据、随机打乱候选顺序、隐藏模型身份、多裁判投票和人工抽检。对于安全、法律、金融等高风险评测，Judge 只能作为辅助信号。,75.6,30
,Pairwise 评测和 Rubric 打分如何取舍？,评测、观测与质量保障,Pairwise 评测让裁判比较两个候选哪个更好，适合模型、Prompt 或检索策略迭代时做相对优劣判断，通常比绝对打分更稳定。Rubric 打分按准确性、完整性、忠实度、格式、安全、成本等维度给单个结果评分，适合持续监控和问题归因。实践中可以先用 Pairwise 选择方向，再用 Rubric 分析具体改进点。,74.0,29
,Agent Trace 如何评分？,评测、观测与质量保障,Agent Trace 评分要同时评价最终结果和执行过程。结果侧看任务是否完成、答案是否正确、用户目标是否满足；过程侧看计划是否合理、工具选择和参数是否正确、调用顺序是否必要、是否遵守权限、是否能从失败中恢复。还应统计步骤冗余、循环次数、人工接管、延迟和成本，因为一个“碰巧答对”的 Agent 也可能存在严重过程风险。,72.4,28
,RAG 应该分哪些阶段评测？,评测、观测与质量保障,RAG 评测应分阶段进行：文档解析阶段看文本、结构、表格和元数据是否保真；切分和索引阶段看 Chunk 粒度、Embedding 和权限标签；检索阶段看 Recall、Precision 和过滤正确性；Rerank 阶段看相关证据是否排前；生成阶段看忠实度、引用准确率、拒答和格式；端到端阶段再看用户满意度、延迟和成本。分阶段评测有助于定位问题到底出在召回、排序还是生成。,72.4,28
,结构化输出如何评测？,评测、观测与质量保障,结构化输出评测不能只看 JSON 能否解析。第一层检查语法合法性，第二层检查必填字段、类型、枚举、日期格式、数组长度等 schema 约束，第三层检查跨字段规则和业务语义，例如金额是否一致、状态是否合法、引用是否存在。对于会入库或调用接口的输出，还要评估失败重试、兜底策略和坏例率，避免合法 JSON 携带错误业务含义。,70.9,27
,AI 应用回归测试如何设计？,评测、观测与质量保障,AI 应用回归测试应在模型、Prompt、工具 schema、检索参数、知识库、Rerank 或安全策略变化后自动运行。测试集要覆盖核心路径、历史坏例、长尾问题、空召回、越权、安全拒答和结构化输出。指标上比较准确率、忠实度、格式合规率、工具调用准确率、延迟和成本，并设置不允许关键指标明显低于基线的门槛。,69.3,26
,CI 中如何设置评测阈值？,评测、观测与质量保障,CI 中的 AI 评测阈值应按风险分层设置。安全、越权、隐私泄露、危险工具调用等用例应设置硬门槛，失败即阻断；质量指标可要求不低于当前基线或退化不超过固定比例；延迟和成本设置最大可接受上限。为降低随机波动，应固定评测集版本、模型版本、采样参数和评分 rubric，并输出失败样本明细便于排查。,69.3,26
,AI 功能线上灰度如何做？,评测、观测与质量保障,AI 功能线上灰度应从内部用户、小租户、低风险入口或只读场景开始，逐步扩大流量。灰度期间要对比实验组和基线组的任务完成率、满意度、准确率、人工接管率、错误率、安全拦截、P95 延迟和成本。发布系统必须支持按模型、Prompt、知识库、工具或功能开关快速回滚，并把灰度坏例回流到评测集。,67.7,25
,失败案例如何回填到测试集？,评测、观测与质量保障,失败案例回填测试集时，应先做问题归因：知识缺失、解析错误、召回失败、Rerank 排序差、Prompt 约束不足、模型能力不够、工具错误还是权限配置问题。修复后把该案例加入对应分类的回归集，并补齐输入、标准答案、参考证据、评分规则、失败标签和期望修复点。这样后续改动才能验证同类问题是否被真正解决，避免只修单个样本。,66.1,24
,用户反馈如何进入评测闭环？,评测、观测与质量保障,用户反馈进入评测闭环时，应把点赞点踩、追问、人工修改、投诉和转人工结果关联到当时的 Trace，包括问题、检索证据、答案、引用、模型版本和工具调用。对差评样本先做归因，再挑选高价值 case 加入 Golden Set 或坏例集，补齐标准答案、证据和评分规则。修复后跑回归，并观察线上同类问题是否下降，避免反馈只停留在统计层。,66.1,24
,自动标注评测数据有什么风险？,评测、观测与质量保障,自动标注评测数据的风险是把标注模型的偏差和错误带入评测集，例如把错误答案标成正确、遗漏关键证据、简化复杂问题或忽略安全边界。它适合做初筛、弱标注和样本扩充，但不能直接作为高可信 Golden Set。关键样本必须人工复核，尤其是安全、金融、法律、医疗和合规场景，否则评测集会把优化方向带偏。,64.5,23
,A/B 实验在 AI 应用中如何设计？,评测、观测与质量保障,AI 应用的 A/B 实验应先明确实验目标和核心指标，例如任务完成率、满意度、准确率、格式合规率、人工接管率、延迟和成本。实验时需要随机分流，保证除被测变量外其他条件一致，例如只比较 Prompt A 和 Prompt B，就不要同时更换模型或检索参数。实验结果不能只看平均分，还要分析坏例、安全指标和成本变化；通过后再灰度放量，并保留回滚方案。,62.9,22
,任务完成率如何定义？,评测、观测与质量保障,任务完成率必须围绕具体业务目标定义，而不是简单等同于用户满意。客服场景可看问题是否解决且无需再次进线；Agent 场景可看目标是否达成、工具是否执行成功、验收器是否通过；RAG 场景可看答案是否正确且引用充分。最好区分完全完成、部分完成、失败、转人工和用户放弃，并通过人工抽检校准自动统计。,62.9,22
,Tool Call Accuracy 如何衡量？,评测、观测与质量保障,Tool Call Accuracy 衡量 Agent 是否在正确时机调用了正确工具，并生成了正确参数和调用顺序。它至少包括工具选择准确率、参数字段准确率、参数值正确率、调用顺序正确率，以及不该调用时保持不调用的能力。这个指标能帮助区分“模型不会回答”和“工具链路出错”，比只看最终答案更利于定位 Agent 问题。,61.3,21
,Hallucination Rate 如何衡量？,评测、观测与质量保障,Hallucination Rate 衡量输出中无证据支持、与证据冲突或编造事实的比例。RAG 场景要重点识别两类问题：没有检索到可靠证据仍然强答，以及引用材料并不支持答案结论。评测时可以按 claim 粒度标注是否被证据支持，也可以结合人工审核和 LLM Judge 初筛，但关键样本要人工校准。,59.7,20
,Citation Accuracy 如何衡量？,评测、观测与质量保障,Citation Accuracy 衡量答案中的引用是否真实支撑对应结论。它不是检查“有没有链接”，而是检查每个关键 claim 是否能在引用片段中找到直接或间接依据，引用是否来自正确版本、正确权限和正确文档位置。高质量 RAG 系统应尽量做到结论与证据一一对应，引用不足时要降级、补检索或拒答。,58.1,19
,Latency 指标应该拆成哪些阶段？,评测、观测与质量保障,Latency 指标应拆成排队时间、请求组装、权限判断、Query Rewrite、Embedding、向量/BM25 检索、Rerank、工具调用、模型 TTFT、完整生成、结构化解析和后处理。拆分后才能判断瓶颈是在模型、检索、工具、网络还是队列。线上看板应同时展示平均值、P95/P99 和超时率，因为少量慢请求会显著影响用户体验。,58.1,19
,Cost 指标应该如何监控？,评测、观测与质量保障,Cost 指标应按请求、用户、租户、功能、模型、知识库和时间维度统计。成本项不仅包括输入/输出 Token，还包括 Embedding、Rerank、工具调用、批处理、重试、缓存未命中、人工审核和向量库资源。监控时要关注单请求成本、日/月累计成本、异常突增和高成本 Top 功能，并结合配额、告警和降级策略控制预算。,56.5,18
,Safety 指标包括哪些内容？,评测、观测与质量保障,Safety 指标应覆盖越权访问、敏感信息泄露、有害内容输出、Prompt Injection 成功率、RAG 投毒命中、危险工具误调用、拒答准确率、人工审批覆盖率和审计完整性。既要看拦截率，也要看误杀率，因为过度拒答会影响可用性。高风险场景应将安全用例纳入固定回归集，任何模型或 Prompt 变更都要重新验证。,54.9,17
,为什么要 Replay 生产 Trace？,评测、观测与质量保障,Replay 生产 Trace 是为了用真实线上输入、上下文、模型配置和工具结果回放历史请求，评估新模型、Prompt、检索参数或工具 schema 是否造成回归。它能发现离线人工构造样本覆盖不到的长尾问题，也能复现用户投诉。回放时应对敏感数据脱敏，固定外部工具 mock 或快照，并区分只读回放和会产生副作用的真实执行。,54.9,17
,Prompt 变更上线前如何评估？,评测、观测与质量保障,Prompt 变更上线前应先做静态审查，确认系统指令、变量插槽、权限边界和输出格式没有破坏；再跑 Golden Set、历史坏例和 Trace 回放，对比准确率、忠实度、格式合规率、安全拒答、延迟和 Token 成本。通过后再小流量灰度，并保留 Prompt 版本和一键回滚。Prompt 是生产配置，不应直接在线上随手修改。,53.4,16
,模型升级上线前如何评估？,评测、观测与质量保障,模型升级上线前应把它当成一次完整发布，而不是简单替换 model 参数。需要对比新旧模型在业务 Golden Set、历史 Trace、RAG 忠实度、结构化输出、工具调用、安全拒答、中文效果、P95 延迟和成本上的表现。通过离线评测后再灰度放量，并保留旧模型、旧 Prompt 和路由回滚策略，因为新模型可能在少数关键场景退化。,51.8,15
,AI 应用指标看板应该包含什么？,评测、观测与质量保障,AI 应用指标看板通常包括四类指标：质量指标，例如准确率、任务完成率、幻觉率、引用准确率和用户满意度；工程指标，例如成功率、P95/P99 延迟、错误码和超时率；成本指标，例如输入输出 Token、费用、缓存命中率和重试成本；安全指标，例如越权拦截、敏感信息命中、危险工具调用和人工审批率。看板还应支持按模型、Prompt 版本、租户、知识库和功能维度下钻。,50.2,14
